,Time for HR (s),HR (BPM),Avg HR (BPM)
304,240.184,80.6451612903226,83.48411676032042
305,240.928,83.33333333333347,83.41618197771166
306,241.648,83.33333333333347,83.22678803831779
307,242.368,87.20930232557929,83.20999072588782
308,243.056,83.33333333333347,83.0518370239196
309,243.776,85.22727272727523,82.9968785481014
310,244.48,87.20930232557929,82.95983693802604
311,245.168,82.41758241758465,83.071071643254
312,245.896,83.33333333333017,83.05234505149382
313,246.616,83.33333333333347,83.08938666156911
314,247.336,86.2068965517244,83.08938666156904
315,248.032,85.22727272727523,83.08938666156911
316,248.736,80.6451612903226,83.0168966289485
317,249.48,86.2068965517244,82.97985501887328
318,250.176,78.12499999999993,82.97985501887325
319,250.944,82.41758241758144,82.97985501887318
320,251.672,83.33333333333347,82.99944749536233
321,252.392,82.41758241758144,82.9598069033961
322,253.12,79.78723404255217,82.89823054871621
323,253.872,80.6451612903226,82.89823054871637
324,254.616,83.33333333333347,82.85858995675012
325,255.336,78.94736842105358,82.77087065850453
326,256.096,81.52173913043589,82.6571193946016
327,256.832,79.78723404255217,82.76128606126821
328,257.584,84.2696629213496,82.72505417721025
329,258.296,78.12499999999704,82.68960575466501
330,259.064,75.75757575757832,82.70713731146729
331,259.856,78.94736842105358,82.67090542740934
332,260.616,77.31958762886494,82.74842480725432
333,261.392,81.52173913043589,82.7484248072544
334,262.128,82.41758241758144,82.86747242630194
335,262.856,86.20689655172087,82.84832023018343
336,263.552,83.33333333333675,82.77080085033843
337,264.272,84.2696629213496,82.66884095456406
338,264.984,83.33333333333017,82.66884095456419
339,265.704,84.2696629213496,82.6150775137039
340,266.416,80.64516129031952,82.52137436527813
341,267.16,82.41758241758788,82.44726369334134
342,267.888,82.41758241758144,82.48271211588651
343,268.616,86.20689655172087,82.35431886570308
344,269.312,86.20689655172791,82.44017051405483
345,270.008,85.2272727272718,82.45848553236982
346,270.712,86.20689655172087,82.40472209150967
347,271.408,86.20689655172791,82.42303710982463
348,272.104,85.2272727272718,82.42303710982463
349,272.808,78.94736842105358,82.51467933856362
350,273.568,81.52173913043589,82.46091589770346
351,274.304,83.33333333333017,82.54863519594899
352,275.024,81.52173913043589,82.60359367176727
353,275.76,80.64516129031952,82.73198692195079
354,276.504,81.52173913043589,82.69494531187541
355,277.24,81.52173913043589,82.83699076642091
356,277.976,87.2093023255829,82.95227403387806
357,278.664,87.2093023255829,83.0974645964914
358,279.352,89.2857142857109,83.18150762652283
359,280.024,84.2696629213496,83.11357284391417
360,280.736,83.33333333333017,83.02772119556248
361,281.456,77.31958762886494,82.86608326452811
362,282.232,83.33333333333675,82.74580835043868
363,282.952,80.64516129031952,82.6908498746204
364,283.696,81.52173913043589,82.6546179905624
365,284.432,81.52173913043589,82.71341077864707
366,285.168,82.41758241758144,82.8652134351936
367,285.896,79.78723404255217,83.04613007952476
368,286.648,82.41758241758788,83.1023238857187
369,287.376,83.33333333333017,83.14289183703721
370,288.096,80.64516129032569,83.03165713180904
371,288.84,83.33333333333017,82.97546332561522
372,289.56,79.78723404255217,82.83027276300189
373,290.312,85.2272727272718,82.77280149863405
374,291.016,80.64516129032569,82.59886828898647
375,291.76,83.33333333333017,82.68658758723215
376,292.48,84.2696629213496,82.76069825916886
377,293.192,86.20689655172791,82.77942485092925
378,293.888,82.41758241758144,82.77942485092925
379,294.616,85.2272727272718,82.72902162512278
380,295.32,81.52173913043589,82.76525350918082
381,296.056,86.20689655172087,82.74772195237848
382,296.752,81.52173913043589,82.59928058671788
383,297.488,78.12500000000283,82.50344618855797
384,298.256,78.12499999999704,82.2802319028437
385,299.024,78.12500000000283,82.22527342702543
386,299.792,77.31958762886494,82.1715099861652
387,300.568,81.52173913043589,82.25555301619664
388,301.304,81.5217391304296,82.25555301619663
389,302.04,87.2093023255829,82.32804304881711
390,302.728,88.23529411764618,82.40215372075396
391,303.408,91.46341463414552,82.45711219657211
392,304.064,85.22727272727867,82.55294659473213
393,304.768,88.23529411764618,82.66174736842653
394,305.448,80.64516129031952,82.75758176658641
395,306.192,82.41758241758144,82.75758176658655
396,306.92,78.94736842105358,82.88886458729155
397,307.68,83.33333333333675,82.92674337517052
398,308.4,76.5306122448932,83.03554414886491
399,309.184,83.33333333333675,83.0355441488649
400,309.904,85.2272727272718,83.20835520877262
401,310.608,84.2696629213496,83.32740282782039
402,311.32,81.52173913043589,83.47127786207629
403,312.056,78.12499999999704,83.53285421675595
404,312.824,83.33333333333675,83.62868861491599
405,313.544,80.64516129031952,83.60953641879755
